,text,sentiment
2677,dùng khoảng 1 tháng mình gì h có ý_kiến như sau sản rất tốt pin cũng trâu nếu xài liên_tục thì được 10 tiếng như_chơi game lướt web mày xã_hội vừa mua về đã lên anroid 8 0 luôn cực mượt wifi bắt cũng mạnh như có khi cũng bị mất vân tay rất nhanh chơi liên_quân 5 trận tốn 10 pin tầm 1 tiếng màn_hình sắt nét chụp xoá phông tố positive positive positive negative,positive
2678,máy này không có mở khoá vân tay hả mn e phân_vân giữa máy này và iphone x64g e không chơi game cần camera đẹp pin lâu và máy mượt positive negative,positive
2679,máy tốt mình dùng được 1 năm rồi ko sử_dụng vỏ bao màu sơn đen vẫn ok ko bị trầy nhiều chỉ là pin notpos   xài được 12 tiếng là hết pin positive positive positive negative negative positive,positive
2680,sản_phẩm tương_đối ổn nhưng có cái hình_ảnh notpos  nét cho lắm tải hình về cũng mờ pin trâu màn_hình nhạy cực_kì positive negative,positive
2681,mình mua được 3 ngày_ngày đợt giảm_giá còn 6tr140 chơi liên_quan notneg  lag mình thử test mới quận café rồi bắt wifi rất tốt hơn mấy khác fps khoảng 35 pin rất trâu chơi game cả ngay mới hết_mình xài còn mầu xanh máy rất đep còn camera thì chưa biết vỉ lò chơi game ko tâm cho 5star positive positive,positive
2682,máy mỏng cầm_chắc_tay pin lâu màn_hình đẹp giá bèo nhân_viên nhiệt_tình dễ_thương negative negative positive,positive
2683,màn_hình máy rất đẹp chơi game xem phim gì nhìn cũng đã lắm xài còn lắc mà máy rẻ thì đành phải chấp_nhận hạn_chế bớt cài các ứng_dụng nặng_vậy positive,positive
2684,mới mua được 1 tiếng còn 1 cái cửa_hàng trưng_bày cũng lấy luôn cảm_nhận máy sạc lâu pin có vẻ khoẻ loa ngoài mở max hơi rè màn_hình độ sáng không cao cho lắm cắm sạc thử xài máy bị loạn cảm_ứng nhưng khi reset máy lại hết camera trước kém sau_này xài ra sao chưa biết làm_quà cho người_lớn được positive negative negative positive,positive
2685,dùng bản 64 gb tha_hồ tải game chụp hình lúc trước dùng bản 32 gb nhiều lúc phải xoá bớt ứng_dụng với ảnh,positive
2686,al đều tốt chỉ có chip là khi chs game liên_tục trong tgian dài liên_tục tầm 2 3 ngày thì sẽ hơi đuối xíu khuyên ae chs nhiều là nên để máy nghỉ tầm 3 tiếng sau 1 ngày chs positive,positive
2687,hồi trước mình có dùng con opo a39 nhưng mới_đây mình có chút chuyện gia_đình nên đã đập nó nhưng máy vẫn hoạt_động bình_thường có điều màn_hình bị bể và thân máy cũng bể luôn nhưng cảm_ứng vẫn hoạt_động bình_thường như_không có chuyện gì hết rồi mình đã quyết_định mua thêm em này là opo f5 theo mình đánh_giá là bềnh đẹp mạnh_mẽ negative positive,positive
2688,không như một_số người chê sản_phẩm này theo em thấy vivo y69 xài ok thiết_kế đẹp cấu_hình tốt chơi game ok chỉ có camera là notneg  xíu thôi và màn_hình thì chỉ được hd còn lại thì ok nhìn từ xa người_ta chỉ nghỉ nó là một chiếc iphone chứ không nghỉ nó là điện_thoại hiệu vivo nếu_như bỏ chữ vivo và thay bằng hình quả táo em chỉ tiếc 1 điều là điện_thoại này notneg  tìm 1chiếc ốp vừa_ý cho nó thôi positive positive positive positive positive positive,positive
2689,mới mua 1 ngày thây máy mượt ổn facebook zl web vi_vu chưa chơi game thử cam trước chụp đẹp cam sau đủ sáng ok thiếu ság thì notpos  cho lắm quay video không có chế_độ chốg rung nên thấy notpos  cho lắm pin thì mình thấy cũg rất tốt không tốn pin quá nhiều như mây bạn nói mình nghi chăc do các bạn chơi game nhiều sử dụg thườg xuyên nên thấy vậy thôi nhân_viên tgd thì lúc_nào chả nhiệt_tình nên không phải bàn positive positive positive negative positive,positive
2690,thiêt kế ngầu nhưng notneg to  bỏ vào túi bù lại mua sản_phẩm này nhìn là mặt rớt cả chục lần notneg  gì cả,positive
2691,đã mua máy tại daknong cảm_nhận chạy tốt ngon bổ rẻ camera chụp đẹp có lỗi là khi ban đem bật sáng thấp nhất thi màn_hình nó giật như hết pin vậy ức_chế lắm hỏi chị tổng_đài kêu do anh để máy thấp sáng quá nên vậy quỳ ai cùng bị như minh giơ tay phát positive positive positive negative negative,positive
2692,máy thiết_kế khá đẹp màn_hình độ sáng cao chip snap 660 chơi liên_quân max đồ_hoạ không giật lag gì hết 8gb 128gb không lo về bộ_nhớ tác vụ bình_thường notneg  trễ hay lag gì hết pin xài trung_bình 1 ngày tất_cả so với giá bán là rất tốt về cam thì không sử_dụng nhiều nên không quan_tâm ¥ positive positive,positive
2693,máy nặng như quả tả mang theo đi phượt hay chơi xa thì quá đã ra ngoài vùng_ven bắt sóng vẫn tốt còn sạc khẩn_cấp được cho điện_thoại khác nữa negative positive positive,positive
2694,máy dùng ổn màn hd vẫn nét chỉ có youtube hơi thất_vọng còn pin trâu vc bắt wifi cũng ổn con này dưới 5 tr ngon r positive positive positive,positive
2695,tôi thấy sản_phẩm được nhưng chụp hình vẫn thấy không nét lắm pin dùng được 1 ngày kiểu_dáng vừa_ý positive positive,positive
2696,camera chụp auto xấu cái này là do ứng_dụng lu cam 5 bị lỗi chỉnh tay đẹp hơn nhiều chơi game hơi lag do màn_hình quá to chip yếu còn lại ok negative negative negative positive negative positive,positive
2697,a10s notpos cài  samsung music và vài tiện_ích khác bị cắt bớt nhưng cũng vừa túi_tiền rồi positive negative,positive
2698,mới mua chiều_hôm pin khoẻ chơi game liên_quân mobile ok camera hơi ả negative positive,positive
2699,máy xài cũng ok sạc pin nhanh không nóng nhưng khu đeo ốp vô thì mặt sau vẫn bị tróc cái lớp vỏ ra positive negative negative,positive
2700,mới sắm hôm_nay camera sau chụp tối thì quanh vật_thể nó cứ có thêm viền trắg trắg sao ý kiểu đường_nét nó không có rõ để trải nghiệm thêm xem thế_nào,positive
2701,già_cả hợp_lý sản_phẩm sử_dụng cho nữ thì hợp hơn pin bình_thường chụp choẹt tốt game thì sụp pin nhanh chíp và màn_hình có vẻ notpos  tầm cho lắm positive,positive
2702,thiét kế đẹp_mắt dễ sử_dụng loa to nghe rõ_ràng giá_cả hợp_lí míc nói rõ_ràng,positive
2703,phiên_bản 9 5 13 0 đã khắc_phục được lỗi phát_sóng wifi trên xiaomi redmi không e 5 tạm dịch các lỗi đã khắc_phục ở bản cập_nhật mới ở hình sau positive negative negative,positive
2704,màn_hình xem notneg  vì hd còn lại oke ram 4gb notpos biết  k hơn nữa chip nay nghe ns yếu thì phải negative,positive
2705,xài gần 1 tháng thấy rất mượt cam nét lướt nhanh nhược_điểm mặt sau bám vân tay,positive
2706,cảm_biến vân tay ổn lên ios 10 ít hao pin bỏ vào túi quần có cảm_giác rất lạ nhẹ_nhàng hẳn tóm lại mình cho 5star positive,positive
2707,rất tốt trong tầm giá chơi pubg hd mượt không nóng máy liên_quân thì 60fps vô_tư positive,positive
2708,máy ngon nhưng cam chụp nhèo nhèo hột hột notpos  xảo cho lắm bạn nào bị giống mình không có cách nào khắc_phục vấn_đề cam chụp hình k positive negative,positive
2709,mình mua 5s xài được gần 1 tháng máy chạy mượt ổn_định mọi thứ đều tốt chỉ có điều pin yếu và mau nóng máy khi sạc pin cục sạc rất nóng nhưng mình thấy dường_như 5s máy nào cũng bị như vậy_trừ khoản pin ra thì nói_chung mình thích sản_phẩm này positive positive negative negative positive,positive
2710,mình mua máy hơn 7 tháng xài vẫn ok pin sạc khoảng 1h30 đến 1h45 là đầy để qua đêm vẫn y_nguyên 100 chuẩn kháng nước kháng bụi ip68 năm nay dòng a6 a7 lại notpos  ưu_tiên_cảm_ơn samsung nhé positive positive,positive
2711,xài ok trừ thiết_kế cam lồi dễ trầy xướt và nút tăng giảm âm_lượng đặt gần nút power dễ bấm lầm nếu đặt bên trái thì tốt hơn nút gogle asistant vật_lý không cần_thiết lắm hãng nên bỏ kèm tai_nghe mà thêm sạc nhanh ốp lưng thì ok hơn positive negative negative positive positive,positive
2712,máy xài tương_đối tốt về nhu_cầu giải_trí thì ổn về game nhẹ còn game nặng thì có phần giật lag về camera thì notpos thực_sự  nhưng tầm giá 1 890 000 thì còn hàng này cũng ổn với viên pin 3300 xài chán thì vứt positive positive negative positive negative,positive
2713,máy xài rất ok trong tầm giá này thì không có gì để chê muốn tốt hơn thì ban_đầu đừng mua máy này trc khi mua phải tìm_hiểu kĩ chứ chưa tham_khảo gì rồi mua về sử_dụng lại chê này chê nọ tôi cũng sử_dụng được 1 tuần rồi có thấy máy bị gì đâu_đây chỉ là ý_kiến riêng positive positive positive negative,positive
2714,tôi mới đổi e itel s31 lấy e no2 này hôm_qua về ngoại_hình thì không có gì để chê rất đẹp cầm đằm tay tuy_nhiên đúng như 1 số bạn nhận_xét máy lên mạng hơi nóng chỉ hơi nóng thôi không nóng phỏng tay như nhiều bạn nói pin rất trâu tôi thì chỉ sử_dụng tác vụ cơ_bản không game nên máy khá mượt nói khá mượt vì đôi lúc máy bị đơ dù tôi không tải nhìu ứng_dụng cũng thường_xuyên xoá ram âm_thanh khá to bắt wifi rất mạnh em no 2 này và em sony x ở kế nhau mà no2 wifi căng đét chạy phà phà còn sony x thì hic cà giựt cà giựt wifi lúc có lúc kg nhìn_chung trong tầm giá hơn 2 triệu thì no 2 rất đáng để mua positive positive negative negative positive,positive
2715,máy dùng ổn pin sử_dụng lâu máy cầm_hơi nặng_tay 1 chút camera trước chụp hình ổn hơn camera sau ram chỉ có 1gb nên chơi game tạm thui positive negative positive,positive
2716,tầm giá này nhưng máy rất cầm pin sử_dụng tầm gần 2 ngày mới hết pin lướt facebook zalo rất ok positive,positive
2717,máy thiết_kế đẹp nhỏ gọn pin bền sóng khoẻ màu trắng dùng lâu phai màu nên notneg  positive positive negative,positive
2718,chức_năng vân tay notneg  lúc được lúc không pin tạm ổn màu_sắc đt rất ưng chỉ tiếc vân tay notpos  positive positive positive,positive
2719,máy được nhiều tính_năng nhưng về pin thì để qua đêm sẽ bị giảm đi dù có bật tiết_kiệm pin và đủ xài một ngày rất thích giá vẫn hơi cao d positive negative positive,positive
2720,mua sản_phẩm được 2 tuần máy ổn pin lâu hết xài mượt khuyến_mãi tốt sạc nhanh positive positive negative positive,positive
2721,pin xạc nhanh và cũng trâu chơi 100 cày liên_quân cũng 40 trận liên_tục loa to thiết_kế đẹp chơi game mượt camera cũng ổn mức giá tầm này là ok vẫn còn 1 vài lỗi nhỏ nhưng không đáng_kể positive positive positive negative,positive
2722,camera chụp xét_nét rỏ chạy các ứng_dụng mượt ít bị đơ máy như các dòng điện_thoại khác negative negative,positive
2723,về camera trước thì notpos  như quả ng cáo khi nghe nhạc âm_thanh notneg  còn lại 1 số lỗi nhỏ thì máy nào củng phải có nên không nói tới còn lại những chức_năng khác ok cho 4 sao negative positive,positive
2724,cấu_hình ổn thỉnh_thoảng đơ khoảng 3 giây game chơi mượt_mà có đều khi chơi pin tuột hơi nhanh còn để không thì không tụt bao_nhiêu camera hơi nhợt_nhạt âm_thanh thì hơi nhỏ nhưng ổn trong tầm giá positive negative positive,positive
2725,thiết kể đẹp mà notneg  cấm cấn tay_chơi game tạm ổ positive,positive
2726,vừa lấy máy hôm_qua máy mượt chơi pubg và liên_quân bao đã chụp ảnh điều_kiện tối hay sáng gì cũng đẹp đặc_biệt chống rung quá xuất_sắc pin trung_bình khá không khá hơn s9 bao_nhiêu nhưng tốc_độ lại sạc nhanh hơn đáng_kể samsung dán sẵn màn_hình và tặng ốp lưng luôn nên cảm_thấy rất được vân tay vẫn chưa thật_sự nhạy so với đời trước nhưng so với faceid của aple thì tương_đương_thời_gian mở khoá positive positive,positive
2727,so với tầm giá thì quá ok so với 130 hơn tầm 200 000 thì 105 bị lượt bớt mấy tính_năng như tự_động khoá bàn_phím không có chức_năng gọi nhanh positive negative,positive
2728,mua dùng được 2 ngày trừ cái vân tay lúc nhận lúc không thì xài rất ổn chơi game nặng mượt pin cũng trâu xài hỗn_hợp vừa game vừa dùng các tác vụ hàng ngày thì được tận 8 tiếng nhân_viên tư_vấn cũng nhiệt_tình positive positive negative positive,positive
2729,em mua được khoảng 3 tháng máy xài khá tốt dung_lượng pin tạm ổn nhưng máy hay bị đứng camera notneg  positive positive positive negative,positive
2730,máy có cấu_hình bình_thường pin cũng là 1 điểm yếu nếu chơi liên_tục nóng máy dẫn đến tụt pin nhưng nếu onl facebook lướt wed thì có_thể được nửa ngày tiếc điểm nữa à máy không hỗ_trợ 4g negative thỉnh_thoảng xem video trên youtube có hiện_tượng bị lỗi màu còn đâu mọi thứ vẫn ok nói chug là trong phân khúc 2tr thì máy này rất ok positive negative positive negative negative positive positive,positive
2731,mới mua máy được tuần máy chơi game liên_quân rất là mượt pin khá là trâu nghe nhạc từ sáng tới chiều_tối pin chỉ tuột có 30 positive,positive
2732,dùng rất oce mỗi tội sạc pin notneg  với chơi game hay nóng máy còn ở tầm giá này máy như thế này là oce rồi,positive
2733,mới mua sáng pin trâu vãi 9h30 60 làm 2 trân lq nghệ nhạc youtube đến giờ là 2h30 còn 29 nghe cố cho hết pin mà lâu bực cả mình positive negative,positive
2734,máy khá mạnh mượt chơi mấy cái game 3d không giật lắc mà pin cũng trâu xài cả ngày chưa hết positive,positive
2735,điện_thoại mình màn_hình chính bị ám vàng xài tương_đối ổn pin notpos  trâu như mong_đợi chắc do hệ điều_hành nên không có bộ sưu_tập phải tải về rất khó_chịu ảnh chụp mở trực_tiếp bằng gogle ảnh negative positive,positive
2736,điện_thoại cảm_ứng mà giá phải_chăng mặt dù cảm_ứng notneg  nhưng với giá tiền đó thì cũng gọi là phù_hợp,positive
2737,sau 1 tuần sử_dụng mình có nhận_xét là máy xài rất tốt pin không cầm lắm star nhưng mình có một thất_vọng là bàn_phím máy chạy chậm hay bị lạc chữ ức hết cỡ nhắn_tin soạn là phải nhìn từng chữ và bấm cho thật chuẩn mới được positive negative negative positive positive,positive
2738,sản_phẩm tốt trong tầm giá positive,positive
2739,opo nay xài rất vừa,positive
2740,sản_phẩm này pin lâu camera có cả flash điện_thoại bàn_phím mà có camera này nhìn khá đẹp rồi đủ đáp_ứng nhu_cầu màn_hình cũng khá to negative positive,positive
2741,neo 7 sử_dụng tốt cấu_hình được lúc trước tai ít ứng_dụng nên thấy chán bây gio thấy notneg  nữa vì nhiều ứng_dụng rồi mà positive positive negative,positive
2742,xài 4 tháng và đang xà fre fire pupg,positive
2743,nhìn_chung thì ok ưu_điểm phim trâu bắt wi fi cực tốt mượt sạc pin nhanh chơi game mượt văn tay nhạy nhưng gần đây không bít có phải tại thời_tiết không mà mình chơi game may nóng quá nhược_điểm một_số lỗi nhỏ không sao xung_đột ứng_dụng positive positive positive negative,positive
2744,máy tụt pin nhanh ram 4g còn có 2g khả_dụng thui được cái nhận_dạng mặt với vân tay nhạ positive,positive
2745,mua đt được 3 ngày điện_thoại cũng được chơi game cũng ok pin bền như sạc thì nóng hơn cả khi chơi game còn camera thì notpos  lắm quá ảo không bàng n ok a 5 positive positive positive positive,positive
2746,pin lâu tuy tốc_độ chậm nhưng xài được màn_hình cong dể nức negative negative positive,positive
2747,đt e sao cứ bị giật bin wài mà e đã tắt mạg wi fi giảm độ ság hk xài vẫn bị giật bin 2h nó giật 5 bin nó cứ bị giật z mà máy e ms mua notpos  1 tuần nữa hk biết lỗi này có pải do máy hk ạ negative negative negative negative,positive
2748,thấy cái gì củng ổn trừ cái danh_bạ lúc_nào củng lưu vô má positive,positive
2749,cho 4 sao pin 3080 mah 🔋 nhanh hết màn_hình đẹp positive nhân_viên phụ vụ tốt tận_tình vừa sạc đầy 100 đem ra sử_dụng là tụt xuống 1 liền ngộ ghê luôn á positive positive,positive
2750,mới mua được 2 ngày nói_chung dùng tốt trong mức giá facebook zalo mes ica youtube đều mượt đa_nhiệm cũng tạm pin khá bền wifi 4g đều ổn game online cũng không lag nhìu lâu_lâu lag nhẹ phát riêng camera thì chất_lượng notpos  ở phân khúc 13mp ai thích chụp ảnh thì nên cân_nhắc còn lại thì vi_vu positive positive positive positive,positive
2751,thiết_kế đẹp máy dùng mựơt mà âm_thanh nghe nhạc vẫn hơi nhỏ chỉ có pin notpos  mong pin khoẻ hơn positive,positive
2752,máy thiết_kế ôm,positive
2753,mới mua không có gì bàn cải game pin ít được cái sạc nhanh là quá oke hàng được bảo_hành 18 tháng còn muốn gì nữa các bạn positive positive,positive
2754,mình mua máy này sử_dụng khá ok pin cực trâu điểm yếu chơi liên qân không mượt dù đã chỉnh cấu_hình thấp nhất vẫn bị giật lag positive negative negative,positive
2755,mình đã mua máy được 1 tuần theo đánh_giá của mình thì con máy này về cấu_hình thì chơi liên_quân rất mượt máy_ảnh thì khỏi phải bàn_máy cho ra chất_lượng ảnh bao nét xạc pin chưa đến 1h là đầy 100 bật chết độ máy_bay còn khi xài thì khoảng 1 ngày kể_cả chơi game lúc đầu mua thì hơi phân_vân với realme 2 giờ mua rồi thấy thích ghê positive negative positive,positive
2756,mình dùng được 4 tháng các tính_năng ok hết chỉ có pin là notneg  ai dùng nhiều chắc phải sạc 2 lần trong ngày positive positive,positive
2757,nhìn_chung là ok nhược_điểm pin notneg  nhanh hết pin hơn 3000 của không e 5 iphone 6 plus positive,positive
2758,máy mượ,positive
2759,máy mọi thứ đều ổn với giá tiền trừ việc hơi nóng và không phù_hợp với việc chơi game positive,positive
2760,sản_phẩm màn_hình to độ phân_giải cao loa ngoài nghe rất rõ_ràng lớn camera rành rẻ chụp xa thấy rất rành bàn_phím cảm_ứng nhạy cài ứng_dụng rất nhanh thu sóng tốt positive,positive
2761,máy mượt pin ngon hợp giá mở nhạc zing mp3 thì bị zef síu còn ứng_dụng khác không sao positive negative,positive
2762,sóng nào sóng náy ngon chán thỉnh_thoảng sóng sim 2 notneg  tí_xíu màn_hình máy này rộng hơn bản khác nhìn rõ_ràng nhắn_tin êm positive negative,positive
2763,mới mua về cảm_nhận của mk như sau 1 loa to rõ,positive
2764,pin lâu cầm_chắc_tay màn màu đẹp notneg  ám ố ai chê máy lag hay bị nóng là do chưa biết tối_ưu vào cài_đặt rồi vào mục ứng_dụng buộc dừng và tắt các ứng_dụng không cần_thiết g play âm_nhạc g play phim x sense g driver tắt gogle protect trọng cài_đặt tắt định_vị tắt đồng_bộ tắt 4g wi fi khi không cần dùng tắt tìm thiết_bị trọng mục quả n trị viên thiết_bị tắt tự_động cập_nhật phần_mềm trong ch play ở trong mục cài đật âm_thanh negative positive negative,positive
2765,máy đẹp pin tốt nhưng phản_hồi cảm_ứng notneg  không nhạy cho lắm chiến liên_quan ok được giảm_giá còn 2200k positive positive positive positive,positive
2766,sau khi cập_nhật bản vá 8 2019 thì pin máy lâu hơn sạc nhanh hơn cam trước vẫn xấu và ngả màu máy dùng ổn negative negative positive,positive
2767,ngoại quan đẹp cảm_ứng vân tay dưới màn_hình khá chậm và không nhạy bằng vân tay_mặt lưng như đt trước đây mình từng dùng về phần xem clip thì 1 số bị rỗ như hình bên dưới positive negative negative,positive
2768,mua máy gần được 2 tháng mình sử_dụng rất tốt không như lời đồn suốt ngày lướt web chơi game nhiều nhưng không có hiện tương giật lag nhé máy dùng ram 4gb nên mình sử_dụng từ 100 đến 20 ít nóng máy nói_chung máy rất tốt xứng với giá tiền 6 990 000 positive positive positive,positive
2769,mh mua được 2 ngày thấy rất tuyệt nhu_cầu mh không cao chỉ lướt web duyệt mail bản_đồ là chính nhưng máy đáp_ứng nhiều hơn mong_đợi pin lâu hết từ hôm mua đến giờ mới sạc 1 lần nhiều tính_năng rất hay như chia đôi màn_hình kéo lên và xuống mở máy và camera mh ít chơi game nên nhu_cầu vậy là quá tuyệt máy thiết_kế đẹp mỏng lên youtube cũng nhanh lắm có 4g mặc_dù chưa thử nói_chung xài để làm văn_phòng di_động là ok con dê rất hợp trong tầm giá positive positive negative positive positive negative positive,positive
2770,tốt ở chỗ loa to rõ không rè màn_hình dễ nhìn nhân_viên tgd có_thể nói là điểm 10 cho cách phục_vụ hy_vọng tgd vẫn duy_trì như_vậy thì không sợ mất khách_hàng xin cám_ơn tgd positive,positive
2771,tuyệt không hy_vọng mà gì o chưa thất_vọng không nóng máy mượt mặt sau quá đẹp_mặt trước bình_thường có_điều không có ốp theo máy và rất khó tìm mua đang đặt trên mạng mà không biết có vừa_vặn k positive negative,positive
2772,mua máy được 2 năm rồi máy xài vẫn còn ngon mà tệ cái là viền màn_hình của điện_thoại tróc sơn nhìn xấu quá máy bị rớt 2 lần nữa mà notneg  sao cả nói_chung là quá ok positive positive negative negative negative negative positive,positive
2773,mình dùng được 2 tháng rồi và cảm_thấy máy mượt chơi game seting cấu_hình trung tới tốt mọi thứ đều tuyệt so với giá_cả sạc nhanh do dùng usb type c nên nóng là chuyện hiển_nhiên nếu muốn sạc không nóng thì mấy ông xài mấy cái đời cũ cho rồi pin 3000 chứ xài lâu lắm mới hết pin mà mau hết là do bật ứng_dụng ngầm nhiều ngốn ram quá thôi positive positive positive negative,positive
2774,sau 2 tháng dùng thì máy quá oke sạc nhanh màn đẹp pin xài ứng_dụng bình_thường được hơn 1 ngày pin 100 thịe tuột xuống 80 nhưng từ 80 trở_đi thì bao trâu thiết_kế thì gọn đẹp positive positive positive positive,positive
2775,mới mua dế lúc trưa mình chờ màu hồng này lâu lắm mới có máy nhỏ gọn thích_hợp cho những ai làm nông dễ bỏ_túi negative positive,positive
2776,dùng được 3 tuần đánh_giá chung mọi thứ tốt pin thì trâu_bò mình tránh vừa sạc vừa dùng máy hy_vọng sẽ lâu bị chai pin cho 5star lun h gì positive positive negative negative,positive
2777,mình mua ở tgdđ đt xài tốt không vấn_đề gì còn mấy bạn mua ở đmx thì lúc_nào cũng than là sao ta cảm_ứng nhạy vân tay ok chơi game mượt không lag positive positive,positive
2778,máy xài rất tốt nhưng mình notpos  lắm icon trong điện_thoại icon xấu tệ cần cải_tiến thì hoàn_hảo positive positive negative negative,positive
2779,vừa mua hôm_qua rất thích pin lớn xài lâu 1 ngày đọc báo nghe nhac bluetoth mà từ 50 chỉ xuống 34 pin thôi vân tay 1 chạm rất nhạy nhưng để máy chờ lâu ngẫu_nhiên sẽ bị không lên phải nhấn nguồn để mở_màn_hình trước loa thoại rõ loa ngoài bé nghe nhạc youtube phải loa bluetoth nha các bạn mua gấp về nên quên không nhắc nhận mã giảm_giá 100k hơi tiếc positive negative negative negative,positive
2780,mình mua 1 năm rồi xài thấy ok notneg   gì đăng hình lên facebook notneg  nói_chung ổ positive,positive
2781,mình nghĩ máy này ổn nhỏ gọn dễ đút_túi nhưng so với n ok a 216 và 222 thì máy này không bằng pin cũng trâu loa nghe to và rõ positive positive positive,positive
2782,xài gần 3 năm máy xài rất tốt mỗi camera trc chụp notneg pin  rồi còn lại máy bền chơi game tốt bữa rơi nứt 1 góc màn_hình đt góc đó bị đen luôn 10 ngày sau nó hết đen trở_lại như bình_thường trong khi máy khác thì nó đen rộng ra hoặc bị như_vậy luôn nể con này rất trâu_bò positive positive negative negative,positive
2783,so với giá thì được wifi cực khoẻ pin trâu loa hơi rè cảm_ứng tạm tạm lên mua so với con mobel i 4 thì ăn_đứt hẳn so với tầm giá positive,positive
2784,máy hơi dính vân tay với loa hơi nhỏ và trên tầng cao máy bắt sóng yếu chơi game notpos  nhưng máy cấu_hình helio p60 chơi game mượt pin trâu máy bảo_mật khuôn_mặt nhanh_nhạy cuối_cùng cũng tìm được máy vừa túi_tiền negative positive,positive
2785,sản_phẩm dùng tốt cảm_ứng mượt_mà duy chỉ có 1 điều không hài_lòng đó là máy thi_thoảng bị treo cuộc_gọi bạn_bè gọi đến thỳ thuê_bao đã thử rất nhiều cách bằng việc khôi_phục cài_đặt gốc rồi nâng lên windown 10 nhưng vẫn notpos khắc_phục  mong ad sớm tìm ra và khắc_phục thỳ rất ok positive negative positive,positive
2786,máy xài ok lắm nhưng có lúc hơi đứng máy tí positive,positive
2787,cảm_ứng nhạy chụp hình rõ nét pin xài cực lâu quá tuyệ ̀ i mong_đợi negative,positive
2788,dùng được 2 tháng vẫn tay face is nhanh pin dùng chơi game cũng ổn đánh liên_quân cấu_hình trung_bình thoải_mái cảm_giác ram 8gb hơi ảo vì không như mong_đợi dù_sao cũng xứng_đáng với giá tiền positive positive,positive
2789,mọi thứ đều tốt ngoại_trừ cái tính_năng lên mạng này chả biết sinh ra làm gi cứ nhấn nhầm mãi mà tất thì notpos  mà máy này màn_hình hơi nhoè positive negative,positive
2790,mua từ lú mới ra xài đến giở vẫn tốt chán positive pin tốt cam nét cảm_ứng siêu nhạy positive negative positive,positive
2791,pin hơi yế,positive
2792,máy sử_dụng tốt nghe nhạc liên_tục 6 tiếng camera rõ đôi_khi lỗi sim online liên_tục 3 tiếng rơi không dễ vỡ xem được youtube positive negative positive,positive
2793,máy nóng chụp hình notpos  như mình tưởng 20mp mà notpos  bằng s camera sau lồi nhiều dễ trầy_xước còn lại ok mới cập_nhật android 9 không biết có cải_thiện gì không mua lúc giảm 1tr2 nên cũng cảm_thấy vui positive,positive
2794,mới mua f5 64g được 2thang web nhanh chụp hình đẹp nhưng thấy lớp sơn trên lưng máy notpos  lắm từ khi mua đã sử_dụng ốp lưng nay mở ra thấy tróc sơn nham_nhở như máy cũ không giống với cái r7s mua cả 3 năm rồi bỏ ốp lưng vẫn như mới positive positive negative,positive
2795,n ok a 3 màu đen xài bền màu gê mua lâu rồi màu vân đẹp máy chạy êm mà notneg  lag pin máy xài lâu gê bin bền thật positive negative positive negative,positive
2796,2 tháng sau khi sử_dụng máy vẫn ổn_định và mượt_mà star,positive
2797,camera cũng được thiết_kế thì phải nói là rất đẹp bin thì notneg  còn về phần chơi gem cũng tạm được notpos thật_sự  lắm positive positive positive,positive
2798,sao em muốn gửi tin nhắn mà notpos gửi  vậy ạ từ khi cập_nhật lên android 9 ạ,positive
2799,máy đẹp màn_hình đẹp độ phân_giải hd 6 2 inch nhưng là màn_hình dài 18 9 nên kích_thước tổng_thể cũng chỉ tương_đương với máy 5 5 inch trong hình là máy bên phải không có cảm_biến vân tay camera ở mức trung_bình khá đến cận khá được tặng kèm ốp lưng mở hộp thì máy đã được dán màn_hình sẵn bởi nhà sản_xuất cục sạc theo máy là của opo loại chân dẹt positive positive positive positive,positive
2800,mình review camera cho các bạn nha camera khi bật lên chậm nhưng bắt nét nhanh màu ảnh thì hơi có chất film nhiều nghĩa_là gam màu lạnh thì sẽ đẹp hơn khi chụp trong tối thì notpos thật_sự  bắt sáng còn notneg  negative positive,positive
2801,thiết_kế đẹ sau_này tiếp_tục sử_dụng aple,positive
2802,máy đẹp dễ sd phù_hợp với bạn nữ chuông hơi nhỏ chụp ảnh ảo khó lấy nét sạc pin lâu mà mây nhanh hết pin positive negative negative,positive
2803,mới mua hồi sáng kiểm_tra qua thì thấy tất_cả đều ok riêng đph mh hd nên notneg  positive,positive
2804,máy này mình xài được 1tháng rồi thấy cũng ok notneg từng  nóng máy hay lag còn camera thì mình không rành mấy nhưng notneg   nét hơn samsung gì 5 còn cấu_hình thì tuyệt_vời cpu là1 8 2 3 khá mạnh so với các máy cùng tầm mà gpu cho kết xuất đồ_hoạ khá kém nên chơi liên_quân bug và ned for sản_phẩm ed có đồ_hoạ hơi xấu_số với chip snapdragon 660 đặc_biệt chơi được game total quá rồi rome nói_chung tải game và chơi thoải_mái pin trâu có bạn nào hỏi thêm thì cứ hỏi mình biết thì mình trả_lời cho positive positive positive positive,positive
2805,tất_cả đều ổn ngoại_trừ cảm_biến tiệm cận không ổn_định kê sát vào tai là màn_hình nó chạm nhảy tùm_lum positive,positive
2806,máy notpos có  nhanh những sac cùng khá,positive
2807,là con_gái nhưng cầm trên tay máy này cũng không mất đi nữ_tính ngược_lại nó làm mình cá_tính hơn trông chuyên_nghiệp hơn,positive
